name/first,name/last,natural(4),age
Cody,Malone,3,63
Rodney,Henry,0,32
Leila,Sanchez,4,36
Lucille,Wong,4,65
Edwin,Murphy,1,32
Henry,Bowen,0,55
Winifred,Wolfe,4,53
Jeff,Burns,4,59
Bernard,Johnson,4,62
Olga,Joseph,4,45
Louisa,Fernandez,1,28
Mathilda,Santiago,2,56
Peter,Delgado,2,64
Nicholas,Richardson,4,34
Nell,Tran,0,37
Jacob,Gregory,3,20
Fannie,Gibson,0,31
Lawrence,Santos,0,41
Logan,Blair,1,29
Maud,Hopkins,2,64
Maria,Sullivan,4,25
Victor,Gardner,0,50
Alex,Malone,3,52
Charles,Williams,0,22
Keith,Adams,2,62
Lena,Roberson,1,42
Daniel,Cohen,4,25
Robert,Osborne,2,38
Myrtie,Rice,1,19
Clara,Estrada,1,58
Billy,Bryan,4,25
Fannie,Wong,0,52
Rachel,Stokes,4,56
Edgar,Frazier,4,58
Philip,Alexander,4,56
Christine,Sanchez,3,49
Evan,Morris,2,56
Lillie,Simmons,1,21
Jean,Jenkins,3,61
Christine,Mann,2,48
Leona,Ward,1,30
Lucy,Delgado,0,29
Elijah,Morgan,2,57
Mildred,Ford,0,28
Gertrude,Greene,2,22
Mario,Moody,1,44
Sarah,Shelton,2,51
Chester,Romero,2,61
Ina,Ruiz,0,44
Christian,King,2,60
Dominic,Neal,0,22
Virgie,Spencer,1,31
Randall,Beck,2,29
James,Mullins,3,29
Barry,Reyes,1,24
Marion,Cohen,2,21
John,Baldwin,4,46
Jonathan,Fuller,1,21
Alvin,Wise,3,28
Olive,Cross,3,40
Estella,Figueroa,2,20
Tony,White,0,37
Olga,Becker,1,54
Nicholas,Sandoval,4,29
Julia,Burke,3,39
Norman,Norman,2,36
Winifred,Hogan,4,64
Ivan,Sharp,0,31
Kathryn,Massey,2,34
Roxie,Ellis,0,24
Mary,Hoffman,0,32
Lillie,Hansen,2,18
Hannah,Klein,3,42
Douglas,Coleman,2,55
Timothy,Armstrong,3,18
Celia,Cunningham,1,40
Gordon,Joseph,4,26
George,Wong,0,20
Bettie,Beck,2,52
Lida,Nguyen,2,20
Lida,Lamb,2,20
Cecelia,Fernandez,0,46
Dennis,Ortega,4,56
Michael,Payne,2,52
Luis,Holland,0,42
Olga,Burke,2,32
Roger,Reed,1,25
Glenn,Castro,4,40
Jon,Parsons,2,58
Eula,Garner,3,45
Aiden,Mills,4,39
Effie,Sandoval,1,24
Dollie,Mason,0,27
Jordan,Nichols,3,41
Marc,Casey,0,48
Timothy,McLaughlin,3,49
Juan,Higgins,1,32
Roger,Ramsey,1,28
Sara,Campbell,1,56
Alejandro,Carroll,3,56
Patrick,Gross,1,44
Viola,Lambert,1,23
Lois,Cunningham,4,37
Amelia,Davidson,2,32
Ian,Cook,2,24
Billy,Doyle,4,60
Noah,Buchanan,2,46
Jessie,Briggs,3,52
Marcus,Simmons,4,44
Eleanor,McGee,0,56
Charlotte,Knight,4,50
Sallie,Johnson,3,31
Julian,Jimenez,2,37
Rodney,Park,4,51
Duane,Klein,4,41
Jonathan,Peterson,4,57
Ora,Collins,3,38
Craig,Barber,3,65
Lina,Houston,3,29
Ricardo,Santiago,3,44
Lucile,Quinn,1,47
Rosalie,Castillo,3,30
Clayton,Bush,0,18
Jared,Morrison,2,51
Adelaide,Nunez,0,43
Leah,Clayton,3,65
Lottie,Carlson,3,30
Stanley,Edwards,0,27
Gavin,Jackson,0,38
Barbara,Hanson,4,40
Jeffrey,Henry,0,57
Michael,Schultz,0,25
Ann,Wong,4,43
Rodney,Christensen,3,57
Luke,Payne,1,49
William,McCarthy,3,23
Edward,Brooks,2,61
Lula,Wood,4,36
Harry,Carr,1,63
Louise,Soto,2,38
Blake,Diaz,3,45
Randy,Adams,1,20
Joseph,Strickland,0,56
Milton,Sutton,4,52
Roxie,Nichols,3,55
Viola,Wilkins,0,59
George,Franklin,1,62
Lola,Douglas,2,27
Samuel,Spencer,1,22
Lula,Guerrero,1,32
Charlotte,Morton,1,57
Mabelle,Simpson,2,20
Lora,Paul,4,31
Jared,Glover,4,47
Helen,Vega,1,30
Lloyd,Jones,2,53
Isaac,Snyder,1,61
Gertrude,Robbins,2,50
Marion,Reed,3,48
Lloyd,Abbott,1,23
Georgia,Gibbs,2,33
Lottie,Palmer,1,57
Minerva,Harrington,0,40
Miguel,Estrada,1,59
Edward,Munoz,0,31
Violet,Hardy,1,50
Mabel,Cooper,2,37
Jorge,Burke,0,19
Maurice,Martin,1,29
Jayden,Hunter,1,24
Lois,Curtis,2,63
Janie,Townsend,1,42
Millie,Rivera,4,59
Susan,Lynch,3,29
Oscar,White,2,34
Lillie,Williams,0,19
Francis,Graves,2,55
Maude,Reyes,3,37
Charles,Grant,0,45
Josie,Foster,0,48
Adam,Rogers,4,37
Calvin,Dean,2,62
Lester,Rodriguez,1,28
Danny,Singleton,2,45
Douglas,Harmon,3,20
Julia,Henry,3,20
Bess,Casey,1,57
Emilie,Watts,2,55
Matthew,McCarthy,0,63
Calvin,Reid,0,31
Ruby,Herrera,4,63
Olivia,Bishop,1,22
Dale,Cooper,3,65
Philip,Little,2,38
Clyde,Smith,0,21
Flora,Luna,4,50
Randy,Rhodes,3,44
Ralph,Williams,1,38
Victor,Wong,0,23
Jay,Tyler,1,54
Josephine,Rowe,1,40
Tony,Andrews,3,64
Allen,Snyder,2,28
Isaac,Jimenez,4,42
Abbie,Keller,1,28
Glenn,Blake,4,53
Victoria,Roberson,4,26
Ophelia,Larson,3,24
Adeline,Hernandez,1,44
Jerry,Simon,1,46
Sarah,Massey,0,64
Henry,Sanchez,2,23
Eunice,Welch,2,61
Vernon,Guzman,3,56
Lenora,Nichols,3,64
Chris,Jennings,0,44
Gene,Allen,3,26
Duane,Morgan,4,19
Jay,Parsons,2,50
Caroline,Matthews,0,22
Sophie,Sullivan,1,60
Maurice,Palmer,4,31
Chad,Alexander,1,55
Sam,Torres,1,46
Francis,Castro,1,65
Marc,Weber,4,64
Winifred,Baker,3,24
Kyle,Pearson,4,19
Joel,Hicks,4,22
Jeffrey,Cobb,3,54
Blake,Mitchell,1,24
Alejandro,Ellis,1,50
Elnora,Simon,3,56
Elnora,Todd,0,54
Mayme,Elliott,3,54
Rosa,Cruz,1,36
Lola,Stevens,4,56
Birdie,Graham,4,28
Harry,Simon,3,33
Marguerite,Newman,2,22
Max,Lambert,0,30
Minnie,Schultz,4,48
Bruce,Barnett,1,51
Nelle,Jenkins,0,33
Ruth,Norton,1,43
Vernon,Guzman,2,19
Aiden,Sutton,2,65
Roger,Fisher,0,47
Robert,McKinney,4,45
Marc,Carson,0,18
Georgie,Schultz,0,63
Eliza,Hall,3,43
Cody,Bishop,3,34
Jesus,Wagner,4,49
Lewis,Shelton,0,47
Willie,Dawson,2,32
Trevor,Perry,2,21
Elijah,Carlson,3,23
Oscar,Harrington,0,61
Mario,Bradley,2,62
Randall,Webb,2,62
Andrew,Roberts,0,60
Curtis,Barnes,0,48
Nathan,Alvarez,3,18
Essie,Bell,0,42
Winnie,Armstrong,3,19
Micheal,Swanson,3,58
Winifred,Pope,2,33
Lewis,Richardson,1,65
Manuel,Gordon,0,62
Mae,Freeman,4,54
Danny,Bass,2,62
Dennis,Perry,4,65
Antonio,Riley,4,38
Lucinda,Mack,2,47
Caroline,Martin,4,51
Anne,Park,4,54
Bryan,Bennett,3,58
Barbara,Montgomery,2,30
Delia,Johnson,2,57
Lilly,Holloway,1,39
Randy,Christensen,1,47
Amelia,Holt,3,25
Jon,Fuller,2,40
Rodney,Ruiz,3,29
Ruth,Parks,3,25
Edgar,Ward,3,34
Helen,Wright,0,20
Jane,Hunter,3,34
Bettie,Floyd,1,45
Jon,Rice,1,53
Bernard,Santiago,3,39
Nora,Webster,0,30
Nellie,Parsons,2,35
Duane,Pratt,3,39
Gary,Rice,4,53
Leroy,Casey,3,32
Corey,Gross,0,46
Leroy,Joseph,2,47
Nora,Shaw,4,27
Bill,Watkins,1,43
Emilie,Zimmerman,1,61
Clarence,Horton,0,32
Ray,Sutton,1,64
Steven,Mullins,2,48
Edith,Wallace,2,64
Harold,Nunez,3,28
